iter	Logloss
0	0.6903055172
1	0.6878692948
2	0.6856974873
3	0.6841355142
4	0.6823948087
5	0.6802206417
6	0.6774067259
7	0.6751295854
8	0.6726632115
9	0.6703218939
10	0.6680967972
11	0.6662414398
12	0.6638354579
13	0.6619001308
14	0.6600752254
15	0.6578417813
16	0.655731552
17	0.6536481904
18	0.6517284275
19	0.6497986602
20	0.6480351878
21	0.6459742422
22	0.6437206406
23	0.6420573488
24	0.6400981927
25	0.6387337301
26	0.6373184154
27	0.6352326412
28	0.6334986421
29	0.632319231
30	0.6307058976
31	0.6291747223
32	0.6272748451
33	0.6258402364
34	0.6243461673
35	0.6227544661
36	0.6211563516
37	0.6199503433
38	0.6184678317
39	0.6173206105
40	0.6158582291
41	0.6148212817
42	0.6133512624
43	0.6117090327
44	0.6109909451
45	0.6096716146
46	0.6084313743
47	0.607002298
48	0.6056388081
49	0.6039778594
50	0.6023615823
51	0.6011510993
52	0.599619001
53	0.598696648
54	0.5980192365
55	0.5970548261
56	0.5964501534
57	0.595848508
58	0.5944622818
59	0.593209478
60	0.5920264208
61	0.5906713245
62	0.5893855213
63	0.5882453052
64	0.5871079687
65	0.5860604309
66	0.5849197396
67	0.5842034429
68	0.5834243043
69	0.5824099575
70	0.5811571224
71	0.580350104
72	0.5795525568
73	0.5785264616
74	0.5775740043
75	0.5770206478
76	0.5763699631
77	0.5752451599
78	0.5743657411
79	0.5733685802
80	0.5725828056
81	0.571781635
82	0.5709193338
83	0.5701556037
84	0.5695224041
85	0.5690588337
86	0.5683263153
87	0.5673098358
88	0.5666389124
89	0.5656701889
90	0.5648203423
91	0.564151294
92	0.5632406831
93	0.5627119796
94	0.5619122451
95	0.5609698752
96	0.5601145771
97	0.5591910687
98	0.5586677807
99	0.5581160481
100	0.5574333562
101	0.5563520473
102	0.5557272354
103	0.5552056913
104	0.554177029
105	0.5536904449
106	0.5529265764
107	0.5521434069
108	0.551369696
109	0.5506993223
110	0.5501690459
111	0.5495034629
112	0.5485943073
113	0.5480179011
114	0.5475773565
115	0.5467457575
116	0.5462515389
117	0.5455592188
118	0.5450898417
119	0.5447433756
120	0.5442487043
121	0.5433492593
122	0.5427964268
123	0.5421695505
124	0.541784279
125	0.5411773952
126	0.5406796671
127	0.5399850447
128	0.5395850933
129	0.5390580201
130	0.5384914543
131	0.5381237912
132	0.5375586397
133	0.5369504621
134	0.5367148817
135	0.5363906743
136	0.5361014444
137	0.53556695
138	0.5349027828
139	0.5345777443
140	0.5341649045
141	0.5337443436
142	0.5333007262
143	0.5329965014
144	0.5323439563
145	0.531978295
146	0.5316697551
147	0.5309869061
148	0.5303639697
149	0.5300392567
150	0.5295976843
151	0.5291705896
152	0.5290472918
153	0.5286193467
154	0.5281524994
155	0.5278043192
156	0.5274014624
157	0.5271219499
158	0.526690928
159	0.5263828743
160	0.5260416782
161	0.5256629985
162	0.525142529
163	0.5248133482
164	0.5242603504
165	0.5238746015
166	0.5235671298
167	0.5231353744
168	0.5225752607
169	0.5222494543
170	0.5216839716
171	0.5214869188
172	0.5210855851
173	0.5208408031
174	0.5205355932
175	0.5200427168
