iter	Logloss
0	0.6874894441
1	0.6817510844
2	0.6765834689
3	0.6715167829
4	0.6686449013
5	0.663775725
6	0.6590516034
7	0.6560664831
8	0.6508522377
9	0.6471435051
10	0.6424618837
11	0.63811027
12	0.634019857
13	0.6295461515
14	0.6257536037
15	0.6222970362
16	0.6184138404
17	0.614723235
18	0.6108608062
19	0.6078512922
20	0.6042004676
21	0.6021853405
22	0.5983365124
23	0.5946066795
24	0.5919022062
25	0.5897843667
26	0.586661883
27	0.5833006339
28	0.5801745194
29	0.5764870842
30	0.5733494854
31	0.5698898836
32	0.567104256
33	0.5643260765
34	0.5612303991
35	0.5595491122
36	0.5564016344
37	0.5537136581
38	0.5510901674
39	0.5483965635
40	0.5457928447
41	0.5437555784
42	0.5414820141
43	0.5389327676
44	0.5364555705
45	0.5340159896
46	0.5315543577
47	0.5297329761
48	0.5280136966
49	0.5257202698
50	0.5230256685
51	0.5213197049
52	0.519426223
53	0.5175367577
54	0.5161080899
55	0.5138729563
56	0.5121785907
57	0.5100094533
58	0.507445843
59	0.505382777
60	0.5030392372
61	0.5015160194
62	0.4997234686
63	0.4981659797
64	0.4960424615
65	0.4944689072
66	0.4936753974
67	0.4919051823
68	0.4899157403
69	0.4884030076
70	0.4871537086
71	0.4858591453
72	0.4842667487
73	0.4825728054
74	0.4807541565
75	0.4797143899
76	0.4784954696
77	0.4770721554
78	0.47546152
79	0.4743519226
80	0.473721137
81	0.4727866622
82	0.4722083809
83	0.4708476306
84	0.4696890027
85	0.4681460753
86	0.4670339657
87	0.4656728356
88	0.4644887207
89	0.4633033015
90	0.4627949375
91	0.4620271682
92	0.4609022243
93	0.4596850306
94	0.4584512652
95	0.4571277687
96	0.4556336981
97	0.4545797078
98	0.4538788539
99	0.4526297855
100	0.4521947635
101	0.4508986042
102	0.4505098627
103	0.4496172084
104	0.4483602629
105	0.4470412752
106	0.4460597164
107	0.4449939272
108	0.4441618331
109	0.4433841222
110	0.4422537122
111	0.4415843793
112	0.4410190888
113	0.4402326623
114	0.4393053748
115	0.4385622634
116	0.4378248898
117	0.4372133497
118	0.4370485516
119	0.4360739152
120	0.4352147021
121	0.4343648412
122	0.4336913264
123	0.4325304952
124	0.4317010773
125	0.4308707834
126	0.4301695455
127	0.4294146879
128	0.4291767314
129	0.4289425725
130	0.4281528359
131	0.4274059495
132	0.4266748063
133	0.4261411279
134	0.4251414574
135	0.4244613754
136	0.4236445409
137	0.422822974
138	0.4221292619
139	0.4215361851
140	0.4207653058
141	0.4204252289
142	0.4196586822
143	0.418931743
144	0.4182932164
145	0.4175655186
146	0.4173971717
147	0.4167010295
148	0.4159193672
149	0.4149967608
150	0.414471231
151	0.4140768319
152	0.413545596
153	0.4133992372
154	0.4131675473
155	0.4130261614
156	0.4126859932
157	0.4123985772
158	0.4118224579
159	0.4112851019
160	0.4107443287
161	0.4102402498
162	0.4098348538
163	0.4092893609
164	0.4087992753
165	0.408531126
166	0.4082091937
167	0.4079923849
168	0.407504638
169	0.4070794907
170	0.4064390537
171	0.4059325921
172	0.4056343548
173	0.4051903767
174	0.4045447269
175	0.4040175157
176	0.4035347956
177	0.4030932847
178	0.402686158
179	0.4024228963
180	0.4023521466
181	0.4019664214
182	0.4015457453
183	0.4012553466
184	0.4007812608
185	0.4003193407
186	0.399891926
187	0.3995116685
188	0.3994446262
189	0.399110752
190	0.3987807372
191	0.3984388771
192	0.398304532
193	0.3978991331
194	0.3974889278
195	0.3972499128
196	0.3968710092
197	0.3965252982
198	0.3963246575
199	0.3962809248
200	0.3959212104
201	0.3955212975
202	0.3952510775
203	0.3951848231
204	0.3947854103
205	0.3945340417
206	0.3941218193
207	0.3937950906
208	0.3933760174
209	0.3933168671
210	0.3928335059
211	0.392773871
212	0.3925168361
213	0.3921285935
214	0.3918659114
215	0.391438722
216	0.3910694911
217	0.3909285988
218	0.3907479151
219	0.3905367951
220	0.3900441752
221	0.3897699239
222	0.3895314012
223	0.389232785
224	0.3888923522
225	0.3886267717
226	0.3883153589
227	0.3880504452
228	0.3877752789
229	0.3873671953
230	0.3869991895
231	0.3865909992
232	0.3863295074
233	0.3860805802
234	0.3858020853
235	0.385739934
236	0.3855335254
237	0.3853958619
238	0.3851525796
239	0.3848179299
240	0.3846075476
241	0.3840778695
242	0.3837695945
243	0.38338102
244	0.3831987221
245	0.3830407253
246	0.3827962613
247	0.3825383479
248	0.3821564489
249	0.3820111957
250	0.3817334968
251	0.38149132
252	0.3810611393
253	0.3808148274
254	0.3806535253
255	0.3803258499
256	0.3800533438
257	0.3798038251
258	0.3796594355
259	0.3794802777
260	0.3791998093
261	0.3789715459
262	0.3788258166
263	0.3786612091
264	0.378357483
265	0.3780271156
266	0.3777447538
267	0.3775650808
268	0.3773953718
269	0.3772279011
270	0.3768778847
271	0.3764193229
272	0.3759963012
273	0.375754927
274	0.3754857967
275	0.3752510405
276	0.3751254673
277	0.374913222
278	0.3747082344
279	0.3744323779
280	0.3744027417
281	0.3741142279
282	0.3738718
283	0.3736850775
284	0.3735765107
285	0.373415775
286	0.3732539644
287	0.3731273693
288	0.3730192911
289	0.3728925132
290	0.3726495536
291	0.372415202
292	0.3721029992
293	0.3719360451
294	0.371622128
295	0.3715011561
296	0.3713500206
297	0.3712715402
298	0.3710709188
299	0.3708925642
300	0.3705956235
301	0.3704082006
